product_name,category,categoryRank,noRatings,cost,CategoryFactor,CostBenefit
50 Wheat Pennies (Unsearched Shotgun Roll) - Mixed Years Circulated Good or Better.,Collectible Coins,27,980.0,11.99,0.73,59.66638865721434
The Essential Kenny Loggins,CDs & Vinyl,14,750.0,11.88,0.86,54.29292929292929
"(Pack of 2) Replaced Remote Control for Roku TV, Compatible for TCL Roku/Hisense Roku/Onn Roku/Sharp Roku/Element Roku/Westinghouse Roku/Philips Roku/Insignia Roku/Jvc Roku/RCA Roku Series Smart TVs",Electronics,22,750.0,11.57,0.78,50.561797752808985
"""10 Things That Require Zero Talent""- Motivational Wall Art- 8 x 10"" Poster Print-Ready to Frame. Modern Decor for Home-Office-School-Gym & Locker Room. Teach Your Team & Players The Fundamentals!",Handmade Products,4,571.0,10.88,0.96,50.382352941176464
"45W USB Type C Chromebook Charger Laptop Fast Charging Power Adapter, Widely Compatible with HP, Dell, Lenovo, Acer, Asus, Samsung, Google, and More",Computers & Accessories,27,855.0,12.99,0.73,48.048498845265584
Planet Zero,CDs & Vinyl,30,817.0,11.99,0.7,47.69808173477898
"Funny Kitchen Towels, Drinking Themed Puns, Flour Sack Dish Towel, Sweet Housewarming Gift, White or Gray",Handmade Products,19,721.0,12.95,0.81,45.0972972972973
100 OLD VINTAGE TOPPS BASEBALL CARDS ~ SEALED WAX PACKS LOT!,Sports Collectibles,22,727.0,12.74,0.78,44.51020408163266
"Armor of God Challenge Coin,Prayer Commemorative Coin",Collectible Coins,21,685.0,12.99,0.79,41.658968437259425
"Lin Manuel Miranda Good Morning Merch Poster - Motivational Wall Art - Positive Inspirational Quotes Bathroom Wall Decor - Uplifting Encouragement Gifts for Women, Men, Hamilton Musical Broadway Play",Handmade Products,16,479.0,12.95,0.84,31.070270270270267
Inglourious Basterds - 4K Ultra HD + Blu-ray + Digital [4K UHD],Movies & TV,26,558.0,13.5,0.74,30.58666666666667
Gemstone Toe Ring - 925 Sterling Silver Feet Body Jewellery Adjustable Toe Ring For Girls Women Gift Jewellery,Handmade Products,9,425.0,13.49,0.91,28.669384729429208
Gacha Club,Apps & Games,33,505.0,12.99,0.67,26.046959199384144
The Forge U.S. Army Soldier Military Challenge Coin- Army Gifts,Collectible Coins,25,499.0,14.73,0.75,25.40733197556008
Growin’ Up,CDs & Vinyl,25,403.0,11.96,0.75,25.27173913043478
Military Gift Shop Marine Corps Crucible Challenge Coin - USMC Boot Camp - The Crucible - USMC Vet Owned Business,Collectible Coins,34,527.0,13.77,0.66,25.25925925925926
Gacha Life,Apps & Games,31,471.0,12.99,0.69,25.018475750577363
'Temptations 60',CDs & Vinyl,29,384.0,11.19,0.71,24.364611260053618
"Mindset is Everything - Motivational Wall Art Poster for Home, Office - Gift for Entrepreneur, Student, Men, Teens - Inspirational Decor - Uplifting Self-Improvement Positive Quote - Shark Goldfish",Handmade Products,12,328.0,12.95,0.88,22.28880308880309
Nintendo amiibo - New Inkling Girl (Neon Pink),Video Games,12,328.0,14.99,0.88,19.25550366911274
U.S. Navy Core Values Challenge Coin Collector's Medallion,Collectible Coins,27,252.0,10.99,0.73,16.738853503184714
U.S.AF Core Values Air Force Military Challenge Coin,Collectible Coins,35,255.0,10.99,0.65,15.08189262966333
RENAISSANCE,CDs & Vinyl,1,160.0,10.79,0.99,14.680259499536609
BHealthLife Knight Templar Red Cross Challenge Coin Religious Coin Commemorative Gift,Collectible Coins,29,252.0,12.39,0.71,14.440677966101694
100th Anniversary of The First Peace Silver Dollar 1 OZ 39mm Tribute Coin Medallion Double Dated with Certificate,Collectible Coins,12,212.0,13.95,0.88,13.373476702508961
"""12 Things To Always Remember""- Inspirational Wall Art- 8 x 10"" Print Wall Decor-Ready to Frame. Modern Typographic Print for Home-Office-School Decor. Great Positive Thinking Reminders!",Handmade Products,44,283.0,11.88,0.56,13.34006734006734
iFit 1-Month Individual Membership [Digital Subscription],Software,19,244.0,15.0,0.81,13.176
It Ends with Us: A Novel (1),Books,1,136.522,10.26,0.99,13.173175438596491
Inspirational Positive Quotes Wall Decor - She Whispered Back I Am The Storm - Hippie Boho Wall Art - Motivational Poster - Encouragement Gifts for Women - Rustic Bedroom Living Room Home Office,Handmade Products,14,193.0,12.95,0.86,12.816988416988417
"It's Fine I'm Fine Everything's Fine Badge Reel, Everything is Fine ID Badge Holder, Funny Nurse Badge Reel, Office Gift Retractable Badge Reel",Handmade Products,36,223.0,11.95,0.64,11.943096234309625
Verity,Books,2,128.465,11.26,0.98,11.180790408525755
ELVIS (Original Motion Picture Soundtrack),CDs & Vinyl,9,147.0,13.96,0.91,9.582378223495702
Motivational Wall Art - Office Wall Art & Decor Motivational poster - Positive Quotes Wall Decor - Encouragement Gifts - Positive Sayings for Wall Decor - Entrepreneur Wall Art - Inspirational Quotes,Handmade Products,27,164.0,12.95,0.73,9.244787644787646
AfterLife,CDs & Vinyl,6,116.0,11.99,0.94,9.094245204336946
NBA Superstar- (50) Card Pack NBA Basketball Superstars Starter Kit all Different cards. Comes in Custom Souvenir Case! Perfect for the Ultimate NBA Fan! by 3bros,Sports Collectibles,15,149.0,13.99,0.85,9.05289492494639
The Silent Patient,Books,25,127.705,11.91,0.75,8.041876574307304
"Mighty Patch Original from Hero Cosmetics - Hydrocolloid Acne Pimple Patch for Covering Zits and Blemishes, Spot Stickers for Face and Skin, Vegan-friendly and Not Tested on Animals (36 Count)",Beauty & Personal Care,1,101.381,12.99,0.99,7.726496535796766
"Earth Rated Dog Poop Bags, Guaranteed Leak Proof and Extra Thick Waste Bag Refill Rolls For Dogs, Lavender Scented, 270 Count",Pet Supplies,2,110.298,13.99,0.98,7.726378842030021
"In Case No One Told You Today, Hello, Good Morning, You Belong Here, You're Doing Great, We Believe In You, Classroom Signs, Teacher Classroom Decor, 8x10 inch - UNFRAMED",Handmade Products,23,104.0,10.49,0.77,7.6339370829361295
"Fit Simplify Resistance Loop Exercise Bands with Instruction Guide and Carry Bag, Set of 5",Sports & Outdoors,21,111.043,12.95,0.79,6.774051737451739
USA Statue of Liberty Skull HOBO Nickel Antique Silver Plated collectionchallenge Coin Satan Series,Collectible Coins,29,141.0,14.99,0.71,6.678452301534356
"12Pcs Bitcoin - Pure Gold Physical Bitcoin Coin Blockchain Cryptocurrency in Protective Collectable Gift, Featuring Original Commemorative Tokens, Chase Coin, BTC Cryptocurrency",Collectible Coins,50,185.0,13.99,0.5,6.6118656182987845
Fujifilm Instax Mini Instant Film Twin Pack (White),Electronics,10,96.755,13.98,0.9,6.2288626609442055
Motivational Wall Art - Office Wall Decor - Zig Ziglar Poster - Positive Quotes Wall Decor - Encouragement Gifts - Positive Sayings for Wall Decor - Entrepreneur Wall Art - Inspirational Quotes,Handmade Products,17,95.0,12.95,0.83,6.088803088803089
Ugly Love: A Novel,Books,4,64.375,10.4,0.96,5.942307692307692
"Cottonelle FreshFeel Flushable Wet Wipes, Adult Wet Wipes, 8 Flip-Top Packs, 336 Total Wipes",Health & Household,15,97.749,14.49,0.85,5.734068322981366
Skull Death Sickle Time Passing HOBO Nickel Antique Silver Plating Collection Satan Series Challenge Coin,Collectible Coins,30,122.0,14.99,0.7,5.697131420947297
RAW ('That Little Ol' Band From Texas' Original Soundtrack),CDs & Vinyl,30,102.0,12.59,0.7,5.671167593328038
Educated: A Memoir,Books,19,68.328,11.7,0.81,4.730400000000001
"CeraVe Hydrating Facial Cleanser | Moisturizing Non-Foaming Face Wash with Hyaluronic Acid, Ceramides and Glycerin | Fragrance Free Paraben Free | 16 Fluid Ounce",Beauty & Personal Care,16,81.268,14.57,0.84,4.685320521619766
Amazon.com Gift Card in a Silver Reveal (Classic Black Card Design),Gift Cards,2,70.735,15.0,0.98,4.621353333333333
"Haakaa Manual Breast Pump 4oz/100ml, New Style",Baby,20,69.962,12.94,0.8,4.32531684698609
Things We Never Got Over (Knockemout Series),Books,17,67.528,13.89,0.83,4.035150467962563
"Chromebook Charger USB C for 65W 45W USB-C Laptop Charger,Replacement for HP,Lenovo,Dell,Asus,Samsung,Acer,Google and Mac Book pro Series Computer (Notebook) Chargeable via Type C Laptop Power Adapter",Computers & Accessories,47,106.0,13.98,0.53,4.0185979971387695
Beaushiny Water Wave Wig With Baby Hair 13X4 Glueless HD Lace Front Curly Pre Plucked Hairline 30 inch Brazilian Virgin Human Wigs For Black Women 180% Density Wet and Wavy,Beauty & Personal Care,13,55.0,11.95,0.87,4.00418410041841
The 48 Laws of Power,Books,9,48.721,11.6,0.91,3.822078448275862
Made for Amazon SanDisk 128GB microSD Memory Card for Fire Tablets and Fire -TV,Amazon Devices & Accessories,21,70.545,14.75,0.79,3.778342372881356
"Aegend Swim Goggles, Swimming Goggles No Leaking Full Protection Adult Men Women Youth",Sports & Outdoors,14,55.777,13.99,0.86,3.4287505360972124
Regretting You,Books,28,48.533,10.84,0.72,3.223594095940959
"Swiffer WetJet Hardwood Floor Cleaner Spray Mop Pad Refill, Multi Surface, 24 Count",Industrial & Scientific,17,47.442,12.97,0.83,3.035995373939861
"USB Wall Charger, LUOATIP 3-Pack 2.1A/5V Dual Port USB Cube Power Adapter Charger Plug Block Charging Box Brick for iPhone 13 12 11 Pro Max SE XS XR X 8 7 6 6S Plus, Samsung, LG, Moto, Android Phones",Cell Phones & Accessories,35,51.88,11.99,0.65,2.812510425354462
"BetterBody Foods Organic Chia Seeds with Omega-3, Non-GMO, Gluten Free, Keto Diet Friendly, Vegan, Good Source of Fiber, 2 lbs, 32 Oz",Grocery & Gourmet Food,50,81.945,14.99,0.5,2.733322214809873
"Amazon Basics Tall Kitchen Drawstring Trash Bags, 13 Gallon, 120 Count (Previously Solimo)",Health & Household,29,53.73,14.55,0.71,2.6218762886597937
Boho Classroom Decor It Is Okay To Be Yourself Classroom Wall Decor Teacher Gift Child Art Playroom Decor Classroom Quotes - UNFRAMED (8X10 INCH),Handmade Products,22,36.0,10.98,0.78,2.557377049180328
"QHOHQ 3 Pack Screen Protector for iPhone 13 Pro Max 6.7 Inch with 3 Pack Tempered Glass Camera Lens Protector, Ultra HD, 9H Hardness, Scratch Resistant, Easy Install - Case Friendly",Cell Phones & Accessories,11,31.414,10.99,0.89,2.5439909008189265
"Chemical Guys SPI22016 Total Interior Cleaner and Protectant, Safe for Cars, Trucks, SUVs, Jeeps, Motorcycles, RVs & More, 16 fl. oz",Automotive,10,29.997,10.97,0.9,2.461011850501367
"Aquaphor Baby Healing Ointment Advanced Therapy Skin Protectant, Dry Skin and Diaper Rash Ointment, 14 Oz Jar",Baby,21,41.665,13.87,0.79,2.373132660418169
November 9: A Novel,Books,12,30.043,11.44,0.88,2.311
"Finish Jet-Dry Rinse Aid, Dishwasher Rinse Agent and Drying Agent, 23 fl oz, Packaging may vary",Industrial & Scientific,31,32.342,10.29,0.69,2.1687055393586006
Klara and the Sun: A novel,Kindle Store,29,40.291,13.99,0.71,2.0447898498927803
"RESCUE! Outdoor Disposable Fly Trap, Green, 2 Pack","Patio, Lawn & Garden",20,34.124,13.57,0.8,2.011731761238025
"Command Large Utility Hooks, Damage Free Hanging Wall Hooks with Adhesive Strips, No Tools Wall Hooks for Hanging Decorations in Living Spaces, 7 White Hooks and 12 Command Strips",Industrial & Scientific,19,26.315,10.99,0.81,1.9395040946314834
"Combat Max 12 Month Roach Killing Bait, Small Roach Bait Station, Child-Resistant, 18 Count","Patio, Lawn & Garden",25,28.238,10.99,0.75,1.9270700636942675
"Wagner's 13008 Deluxe Wild Bird Food, 10 lb Bag","Patio, Lawn & Garden",28,31.23,12.35,0.72,1.8206963562753036
"Fearless Tape - Double Sided Tape for Fashion, Clothing and Body (50 Strip Pack) | All Day Strength Tape Adhesive and Gentle on Skin and Fabrics | Transparent Clear Color for All Skin Shades","Clothing, Shoes & Jewelry",26,24.632,10.99,0.74,1.6585696087352138
"Snark SN5X Clip-On Tuner for Guitar, Bass & Violin (Current Model)",Musical Instruments,22,30.298,14.99,0.78,1.576547031354236
(2 Packs) 2021/22 Upper Deck Series 1 NHL Hockey Fat Packs - 52 Cards - Collect Young Guns Rookie Cards,Sports Collectibles,28,28.0,13.95,0.72,1.4451612903225808
Life After Death,CDs & Vinyl,9,18.0,11.98,0.91,1.367278797996661
"Natria 706250A Neem Oil Spray for Plants Pest Organic Disease Control, 24-Ounce, Ready-to-Use","Patio, Lawn & Garden",26,19.034,11.34,0.74,1.2420776014109347
Confess: A Novel,Books,25,15.168,11.43,0.75,0.9952755905511811
"300 PCS Stickers Pack (50-850Pcs/Pack), Colorful VSCO Waterproof Stickers, Cute Aesthetic Stickers. Laptop, Water Bottle, Phone, Skateboard Stickers for Teens Girls Kids, Vinyl Sticker.",Computers & Accessories,4,13.783,13.89,0.96,0.9526047516198703
Our Class is a Family,Books,14,11.805,11.99,0.86,0.8467306088407006
Every Summer After,Books,23,12.174,11.8,0.77,0.7944050847457627
MARBLEFY Custom Name Airpod Pro Case with Keychain and Running Strap Compatible with Apple AirPods Pro,Handmade Products,29,12.718,13.99,0.71,0.6454453180843459
"LOUTOC Universal TV Remote for Roku TV,Replacement for TCL Roku/Hisense Roku/Sharp Roku TV,TV Remote with Netflix Disney+/Hulu/Prime Video Buttons【Not for Roku Stick and Box】",Electronics,24,9.149,10.99,0.76,0.6326878980891719
And 5678 Beginner's #2 Line Dance Workout DVD Set,Entertainment Collectibles,8,8.0,12.0,0.92,0.6133333333333334
"Mr. Sketch Chiseled Tip Marker, 2054594, 22 Assorted Scented Markers",Toys & Games,7,7.77,11.99,0.93,0.6026772310258548
Blink USB flash drive for local video storage with the Blink Sync Module 2,Amazon Devices & Accessories,47,14.374,14.99,0.53,0.5082201467645098
2021/22 Topps UEFA Champions League Match Attax Extra Mini Tin (1 At Random),Sports Collectibles,26,8.0,11.97,0.74,0.49456975772765244
The Great Heathen Army,CDs & Vinyl,15,8.0,14.99,0.85,0.4536357571714476
"4-Port USB Hub 3.0, T-Sound USB Splitter for Laptop, Ps4 Keyboard and Mouse Adapter for Dell, Asus, HP, MacBook Air, Surface Pro, Acer, Xbox, Flash Drive, HDD, Console, Printer, Camera",Computers & Accessories,6,6.041,12.99,0.94,0.4371470361816782
"Lightning to 3.5 mm Headphone Jack Adapter, [Apple MFi Certified] 3 Pack iPhone 3.5mm Headphones/Earphones Jack Aux Audio Dongle Adapter Compatible for iPhone 13 12 11 XS XR X 8 7 iPad, Support iOS 15",Electronics,46,8.862,10.99,0.54,0.43543949044585994
A Letter From Your Teacher: On the First Day of School,Books,13,5.244,11.99,0.87,0.38050708924103416
"(Apple MFi Certified) iPhone Charger Cable,PLmuzsz 3Pack Data Sync Charging Cords with 3Pack USB Wall Charger Travel Plug Adapter Compatible iPhone 12 Pro/11 Pro/Xs/XR/X/8/8Plus and More",Cell Phones & Accessories,46,7.091,10.98,0.54,0.3487377049180328
Will of The People,CDs & Vinyl,2,4.0,12.79,0.98,0.3064894448788116
2020 FORTNITE Series 2 Trading Cards 3-Pack Retail Lot 6 Cards Per Pack 18 Cards total Superior Sports Investments,Entertainment Collectibles,3,4.0,12.95,0.97,0.2996138996138996
"European Travel Plug Adapter, TESSAN US to Europe Plug Adaptor with 2 USB Charger 2 American Outlets",Automotive,16,5.341,14.99,0.84,0.29929553035356904
"McAfee AntiVirus Protection 2022 | 1 PC (Windows)| Antivirus Protection, Internet Security Software | 1 Year Subscription | Download Code",Software,20,5.512,14.99,0.8,0.2941694462975317
100 Vintage Football Cards in Old Sealed Wax Packs - Perfect for New Collectors,Sports Collectibles,4,3.869,12.95,0.96,0.28681389961389964
Woman's Day,Magazine Subscriptions,24,3.9,11.0,0.76,0.26945454545454545
"Outlet Extender with Night Light, USB Wall Charger, POWLIGHT 5-Outlet Surge Protector Power Strip with 4 USB Ports, 1680 Joules Multi Plug Outlet with Spaced Outlets for Home, Office, White",Electronics,47,6.955,14.97,0.53,0.24623580494321975
Newest Universal Remote Control for All Samsung TV Remote Compatible All Samsung LCD LED HDTV 3D Smart TVs Models,Electronics,45,5.587,12.86,0.55,0.23894634525660968
"Mead Spiral Notebooks, 6 Pack, 1-Subject, Wide Ruled Paper, 10-1/2"" x 8"", 70 Sheets per Notebook, Assorted Colors (73063)",Office Products,36,4.365,12.01,0.64,0.23260616153205663
"VELCRO Brand Dots with Adhesive White | 200 Pk | 3/4"" Circles | Sticky Back Round Hook and Loop Closures for Organizing, Arts and Crafts, School Projects, 91824",Industrial & Scientific,42,5.381,13.87,0.58,0.22501658255227108
Play-Doh Handout Non-Toxic Modeling Compound,Toys & Games,25,4.129,14.87,0.75,0.20825487558843309
"stress relief & sleep essential oils roll on - sleep aid, natural perfume, relaxation on the go -10 mL -therapeutic grade - Chill Out Relaxing blend by Bliss Bound Wellness",Handmade Products,10,3.124,13.77,0.9,0.20418300653594773
The Magnolia Journal,Magazine Subscriptions,28,4.097,15.0,0.72,0.196656
"Qifutan Phone Mount for Car Vent [2022 Upgraded Clip] Cell Phone Holder Car Hands Free Cradle in Vehicle Car Phone Holder Mount Fit for Smartphone, iPhone, Cell Phone Automobile Cradles Universal",Cell Phones & Accessories,43,4.241,12.99,0.57,0.18609468822170896
Disney Parks Keychain - Mickey Mouse Glove w/Stylus,Entertainment Collectibles,9,3.0,14.95,0.91,0.1826086956521739
Vogue,Magazine Subscriptions,21,2.681,12.0,0.79,0.17649916666666668
100 Vintage Baseball Cards in Old Sealed Wax Packs - Perfect for New Collectors,Sports Collectibles,3,1.844,11.25,0.97,0.1589937777777778
I Am The Moon: IV. Farewell,CDs & Vinyl,27,2.0,10.19,0.73,0.14327772325809618
House Beautiful,Magazine Subscriptions,21,2.643,15.0,0.79,0.139198
Ranger Rick,Magazine Subscriptions,19,2.06,12.0,0.81,0.13905
"""You Are Enough-Loved-Important""- Inspirational Wall Art Print- 8 x 10"" Ready to Frame. Motivational Wall Art-Home Décor- Office Décor. Perfect For Building Confidence in Children, Friends & Graduates",Handmade Products,18,1.469,10.99,0.82,0.10960691537761601
Doctor Strange in the Multiverse of Madness (Feature),Movies & TV,20,1.811,13.25,0.8,0.1093433962264151
BCW 2x2 Coin Snap Holder Large Dollar (38.1mm) Bundle of 25,Collectible Coins,8,1.47,13.82,0.92,0.09785817655571635
Country Stuff The Album,CDs & Vinyl,29,1.58,11.96,0.71,0.09379598662207357
Ranger Rick Jr.,Magazine Subscriptions,22,1.769,15.0,0.78,0.091988
EISENHOWER (IKE) DOLLARS SET OF 4 DIFFERENT DATES BETWEEN 1971-1978,Collectible Coins,20,1.558,14.98,0.8,0.08320427236315088
2018-D 24K Gold Gilded JFK Kennedy Half Dollar Coin (D Mint),Collectible Coins,46,1.975,12.98,0.54,0.08216486902927582
"4-Port USB 3.0 Hub, KEYMOX Compact Size Data USB Hub for MacBook, Mac Pro, Mac Mini, iMac, Surface Pro, XPS, PC, Flash Drive, Mobile HDD (Charging Not Supported)",Computers & Accessories,26,1.138,10.48,0.74,0.08035496183206105
"Something Borrowed, Something New: A Tribute To John Anderson",CDs & Vinyl,20,1.0,12.97,0.8,0.06168080185042406
"The Final Gambit (The Inheritance Games, 3)",Books,23,1.0,14.11,0.77,0.05457122608079377
Jumper: Jumpscars #1 VF ; Oni comic book,Entertainment Collectibles,21,1.0,14.99,0.79,0.052701801200800535
